country,coub,fborn,edu_lfs,edu_cen,lfs_lfs,field_edu,number,reg_oecd,reg_regions
"FIN","AFG",1,3,3,3,8,9,0,"ASIA"
"CAN","AFG",1,3,3,2,2,50,0,"ASIA"
"NZL","AFG",1,3,4,2,8,3,0,"ASIA"
"GRC","AFG",1,3,4,1,4,1,0,"ASIA"
"SWE","AFG",1,3,3,1,7,10,0,"ASIA"
"CAN","AFG",1,3,3,3,4,355,0,"ASIA"
"CZE","AFG",1,3,3,2,2,2,0,"ASIA"
"AUS","AFG",1,3,3,2,4,55,0,"ASIA"
"AUS","AFG",1,3,3,2,3,25,0,"ASIA"
"CAN","AFG",1,3,4,3,6,15,0,"ASIA"
"GRC","AFG",1,3,3,3,8,2,0,"ASIA"
"CAN","AFG",1,3,4,3,8,20,0,"ASIA"
"NZL","AFG",1,3,3,3,6,3,0,"ASIA"
"GRC","AFG",1,3,3,2,8,2,0,"ASIA"
"CAN","AFG",1,3,3,2,5,60,0,"ASIA"
"NOR","AFG",1,3,4,1,8,3,0,"ASIA"
"CZE","AFG",1,3,3,1,99,6,0,"ASIA"
"NOR","AFG",1,3,3,1,1,11,0,"ASIA"
"CZE","AFG",1,3,3,1,3,10,0,"ASIA"
"SWE","AFG",1,3,3,3,7,15,0,"ASIA"
"NZL","AFG",1,3,3,1,6,3,0,"ASIA"
"AUS","AFG",1,3,3,2,2,29,0,"ASIA"
"NOR","AFG",1,3,3,1,2,6,0,"ASIA"
"SWE","AFG",1,3,3,3,2,90,0,"ASIA"
"NOR","AFG",1,3,3,2,2,1,0,"ASIA"
"CZE","AFG",1,3,3,2,6,4,0,"ASIA"
"GRC","AFG",1,3,3,2,2,2,0,"ASIA"
"CAN","AFG",1,3,3,1,2,260,0,"ASIA"
"DNK","AFG",1,3,3,3,7,106,0,"ASIA"
"DNK","AFG",1,3,3,3,3,79,0,"ASIA"
"AUS","AFG",1,3,3,3,9,17,0,"ASIA"
"AUS","AFG",1,3,3,2,5,24,0,"ASIA"
"GRC","AFG",1,3,3,1,5,2,0,"ASIA"
"SWE","AFG",1,3,3,2,8,10,0,"ASIA"
"SWE","AFG",1,3,3,3,5,25,0,"ASIA"
"CAN","AFG",1,3,3,3,2,265,0,"ASIA"
"HUN","AFG",1,3,34,2,4,2,0,"ASIA"
"CAN","AFG",1,3,4,1,8,10,0,"ASIA"
"CAN","AFG",1,3,4,3,2,10,0,"ASIA"
"SWE","AFG",1,3,3,1,3,25,0,"ASIA"
"IRL","AFG",1,3,3,1,8,3,0,"ASIA"
"HUN","AFG",1,3,34,3,3,1,0,"ASIA"
"SWE","AFG",1,3,4,2,4,5,0,"ASIA"
"NZL","AFG",1,3,3,1,4,9,0,"ASIA"
"SWE","AFG",1,3,3,2,9,5,0,"ASIA"
"GRC","AFG",1,3,3,2,4,1,0,"ASIA"
"DNK","AFG",1,3,3,3,5,63,0,"ASIA"
"NOR","AFG",1,3,3,3,4,7,0,"ASIA"
"SWE","AFG",1,3,3,3,99,85,0,"ASIA"
"DNK","AFG",1,3,3,2,2,2,0,"ASIA"
"CAN","AFG",1,3,3,3,9,50,0,"ASIA"
"CZE","AFG",1,3,3,2,8,1,0,"ASIA"
"CZE","AFG",1,3,3,1,1,2,0,"ASIA"
"SWE","AFG",1,3,3,3,9,45,0,"ASIA"
"NOR","AFG",1,3,3,1,9,1,0,"ASIA"
"GRC","AFG",1,3,3,3,3,1,0,"ASIA"
"CZE","AFG",1,3,4,3,3,1,0,"ASIA"
"CZE","AFG",1,3,3,1,5,2,0,"ASIA"
"NOR","AFG",1,3,3,3,1,6,0,"ASIA"
"FIN","AFG",1,3,4,3,8,1,0,"ASIA"
"SWE","AFG",1,3,3,1,5,30,0,"ASIA"
"HUN","AFG",1,3,34,3,2,3,0,"ASIA"
"CAN","AFG",1,3,3,2,9,20,0,"ASIA"
"DNK","AFG",1,3,3,3,2,67,0,"ASIA"
"SVK","AFG",1,3,4,1,6,2,0,"ASIA"
"HUN","AFG",1,3,34,1,2,5,0,"ASIA"
"SWE","AFG",1,3,4,1,5,5,0,"ASIA"
"HUN","AFG",1,3,34,2,3,2,0,"ASIA"
"CAN","AFG",1,3,4,1,3,10,0,"ASIA"
"NOR","AFG",1,3,3,2,8,4,0,"ASIA"
"CAN","AFG",1,3,3,2,6,110,0,"ASIA"
"SWE","AFG",1,3,4,3,8,10,0,"ASIA"
"CAN","AFG",1,3,3,2,8,75,0,"ASIA"
"AUS","AFG",1,3,4,1,8,9,0,"ASIA"
"FIN","AFG",1,3,3,2,3,1,0,"ASIA"
"DNK","AFG",1,3,3,1,8,27,0,"ASIA"
"FIN","AFG",1,3,3,3,99,2,0,"ASIA"
