country,coub,fborn,edu_lfs,edu_cen,dos_lfs,dos_cen,sex,number,reg_oecd,reg_regions
"NOR","AFG",1,1,1,1,2,1,88,0,"ASIA"
"DNK","AFG",1,2,2,2,4,1,96,0,"ASIA"
"ITA","AFG",1,2,2,1,1,1,11,0,"ASIA"
"AUS","AFG",1,2,2,1,1,1,116,0,"ASIA"
"NOR","AFG",1,3,3,3,5,1,32,0,"ASIA"
"USA","AFG",1,3,4,3,6,1,160,0,"ASIA"
"NZL","AFG",1,99,99,1,2,2,21,0,"ASIA"
"NZL","AFG",1,2,2,1,3,1,6,0,"ASIA"
"USA","AFG",1,3,3,1,3,1,304,0,"ASIA"
"DNK","AFG",1,99,99,1,1,2,453,0,"ASIA"
"DNK","AFG",1,1,1,1,1,2,107,0,"ASIA"
"SWE","AFG",1,2,2,3,5,2,110,0,"ASIA"
"CAN","AFG",1,2,2,3,6,1,90,0,"ASIA"
"SWE","AFG",1,1,1,1,2,1,190,0,"ASIA"
"USA","AFG",1,3,3,1,1,1,205,0,"ASIA"
"USA","AFG",1,2,2,1,1,2,340,0,"ASIA"
"AUS","AFG",1,1,1,1,2,1,569,0,"ASIA"
"CHE","AFG",1,2,2,1,2,2,297,0,"ASIA"
"NZL","AFG",1,2,2,1,1,2,24,0,"ASIA"
"AUS","AFG",1,99,99,1,1,1,158,0,"ASIA"
"USA","AFG",1,3,3,3,5,1,4730,0,"ASIA"
"GRC","AFG",1,3,3,2,4,1,1,0,"ASIA"
"NOR","AFG",1,2,2,1,3,2,23,0,"ASIA"
"NZL","AFG",1,99,99,2,4,2,12,0,"ASIA"
"CHE","AFG",1,3,3,1,3,1,126,0,"ASIA"
"BEL","AFG",1,3,4,3,5,1,2,0,"ASIA"
"DNK","AFG",1,2,2,3,5,2,49,0,"ASIA"
"AUS","AFG",1,2,2,1,2,1,243,0,"ASIA"
"NZL","AFG",1,1,1,2,4,2,15,0,"ASIA"
"BEL","AFG",1,99,99,2,4,2,15,0,"ASIA"
"AUS","AFG",1,3,3,1,3,2,46,0,"ASIA"
"CAN","AFG",1,1,1,99,99,1,205,0,"ASIA"
"BEL","AFG",1,3,3,3,6,1,6,0,"ASIA"
"BEL","AFG",1,99,99,2,4,1,24,0,"ASIA"
"USA","AFG",1,2,2,3,5,2,4950,0,"ASIA"
"NZL","AFG",1,1,1,99,99,2,3,0,"ASIA"
"FRA","AFG",1,2,2,3,6,1,32,0,"ASIA"
"DEU","AFG",1,2,,3,,1,6090,0,"ASIA"
"IRL","AFG",1,2,2,99,99,2,3,0,"ASIA"
"USA","AFG",1,3,3,3,5,2,3130,0,"ASIA"
