country,coub,fborn,edu_lfs,edu_cen,lfs_lfs,sex,number,reg_oecd,reg_regions
"CHE","AFG",1,3,3,3,2,5,0,"ASIA"
"USA","AFG",1,3,4,1,1,335,0,"ASIA"
"NZL","AFG",1,99,99,1,2,12,0,"ASIA"
"SWE","AFG",1,99,99,3,2,880,0,"ASIA"
"GBR","AFG",1,2,2,2,2,45,0,"ASIA"
"DNK","AFG",1,3,3,2,1,23,0,"ASIA"
"HUN","AFG",1,1,1,3,1,219,0,"ASIA"
"CAN","AFG",1,3,4,2,1,10,0,"ASIA"
"GBR","AFG",1,99,99,99,2,160,0,"ASIA"
"SWE","AFG",1,3,3,3,1,370,0,"ASIA"
"CHE","AFG",1,2,2,3,1,31,0,"ASIA"
"USA","AFG",1,1,1,1,1,2100,0,"ASIA"
"ITA","AFG",1,3,3,1,2,5,0,"ASIA"
"POL","AFG",1,2,2,99,1,6,0,"ASIA"
"TUR","AFG",1,3,3,3,1,70,0,"ASIA"
"FIN","AFG",1,3,3,3,2,10,0,"ASIA"
"ITA","AFG",1,3,4,1,1,5,0,"ASIA"
"DNK","AFG",1,1,1,1,1,227,0,"ASIA"
"CAN","AFG",1,3,4,3,2,10,0,"ASIA"
"AUS","AFG",1,1,1,3,1,788,0,"ASIA"
"CAN","AFG",1,3,3,1,2,930,0,"ASIA"
"CAN","AFG",1,2,2,3,2,1705,0,"ASIA"
"ITA","AFG",1,3,3,3,1,7,0,"ASIA"
"CAN","AFG",1,1,1,2,1,195,0,"ASIA"
"NOR","AFG",1,1,1,3,1,127,0,"ASIA"
"SWE","AFG",1,3,3,2,1,45,0,"ASIA"
"ITA","AFG",1,1,1,3,1,25,0,"ASIA"
"NZL","AFG",1,99,99,2,2,6,0,"ASIA"
"NOR","AFG",1,3,4,3,2,1,0,"ASIA"
"BEL","AFG",1,1,1,2,2,19,0,"ASIA"
"IRL","AFG",1,1,1,1,2,3,0,"ASIA"
"TUR","AFG",1,3,4,1,2,5,0,"ASIA"
"IRL","AFG",1,3,3,2,1,6,0,"ASIA"
"CHE","AFG",1,3,4,1,1,139,0,"ASIA"
"FRA","AFG",1,2,2,1,2,131,0,"ASIA"
"BEL","AFG",1,2,2,2,1,19,0,"ASIA"
"NOR","AFG",1,99,99,2,2,18,0,"ASIA"
"TUR","AFG",1,1,1,1,2,1397,0,"ASIA"
"POL","AFG",1,3,3,2,1,3,0,"ASIA"
"TUR","AFG",1,1,1,3,1,554,0,"ASIA"
"DNK","AFG",1,3,3,2,2,5,0,"ASIA"
"NOR","AFG",1,2,2,3,1,114,0,"ASIA"
"DNK","AFG",1,99,99,1,1,87,0,"ASIA"
"USA","AFG",1,1,1,2,1,260,0,"ASIA"
"CAN","AFG",1,3,4,3,1,80,0,"ASIA"
"GRC","AFG",1,1,1,3,2,11,0,"ASIA"
"IRL","AFG",1,99,99,1,2,3,0,"ASIA"
"TUR","AFG",1,3,4,3,1,9,0,"ASIA"
"USA","AFG",1,3,3,3,1,2015,0,"ASIA"
"AUS","AFG",1,2,2,2,1,231,0,"ASIA"
"GRC","AFG",1,1,1,2,1,90,0,"ASIA"
"DNK","AFG",1,2,2,2,2,11,0,"ASIA"
"USA","AFG",1,3,4,3,2,10,0,"ASIA"
"HUN","AFG",1,1,1,3,2,59,0,"ASIA"
"NZL","AFG",1,99,99,3,1,45,0,"ASIA"
"NZL","AFG",1,99,99,1,1,15,0,"ASIA"
"DEU","AFG",1,1,,3,1,6020,0,"ASIA"
"CAN","AFG",1,2,2,3,1,1055,0,"ASIA"
"CHE","AFG",1,3,3,2,1,5,0,"ASIA"
"CHE","AFG",1,99,99,2,1,47,0,"ASIA"
"FIN","AFG",1,3,3,1,1,5,0,"ASIA"
"GBR","AFG",1,3,34,1,1,703,0,"ASIA"
"GRC","AFG",1,99,99,3,1,8,0,"ASIA"
"CZE","AFG",1,3,3,3,1,2,0,"ASIA"
"POL","AFG",1,2,2,3,1,6,0,"ASIA"
"HUN","AFG",1,1,1,1,1,4,0,"ASIA"
"CAN","AFG",1,2,2,2,1,315,0,"ASIA"
"GBR","AFG",1,1,1,1,2,111,0,"ASIA"
"DNK","AFG",1,2,2,1,1,143,0,"ASIA"
"AUS","AFG",1,99,99,3,1,1109,0,"ASIA"
"BEL","AFG",1,2,2,3,2,11,0,"ASIA"
"HUN","AFG",1,2,2,2,1,3,0,"ASIA"
"AUS","AFG",1,2,2,1,1,753,0,"ASIA"
"TUR","AFG",1,99,99,1,1,328,0,"ASIA"
"NZL","AFG",1,1,1,2,1,9,0,"ASIA"
"FRA","AFG",1,2,2,2,1,62,0,"ASIA"
"GBR","AFG",1,2,2,3,1,800,0,"ASIA"
"SVK","AFG",1,2,2,1,1,11,0,"ASIA"
